"Razón Social","RFC","Dirección","Municipio","Tipo/Calibre","Precio","Moneda","Unidad","Teléfono","Sitio Web","Email","Fuente (URL)","Notas"
"Kloeckner Metals Monterrey","No publicado","Av. Nafta #620, CP 66600","Apodaca","Hot Rolled Pickled & Oiled, Cold Rolled, Galvanizado; Inox 301/304/304L/316L; Aluminio 3003/5052; espesor 0.011"" a 0.187""","Cotizar","","","(52) 81-1253-0800","kloecknermetals.com","","https://www.kloecknermetals.com/branches/monterrey/","Centro de servicio: grúa 33 ton, 160,000 sq ft; certificaciones IATF 16949, ISO 14001, ISO 45001"
"Materiales y Aceros Apodaca","No publicado","Dirección no publicada en sitio","Apodaca","Aceros, varilla, perfiles; servicio de corte y dimensionado","Cotizar","","","+52 81 1910 6820 / +52 81 83 86 2488 / +52 81 8479 4079","materialesyacerosapodaca.com","ventas1@materialesyacerosapodaca.com","https://materialesyacerosapodaca.com/","Municipio inferido del nombre comercial (no confirmado en sitio)"
"Galvasid S.A. de C.V.","No publicado","Dirección no publicada en sitio","Apodaca","Rollos, hojas lisas, cintas, acanalados; acabados: galvanizado, aluminio-zinc, pintura, pintura texturizada, película plástica, embozado","Cotizar","","","+52 (81) 1156-0000","galvasid.com","contacto@galvasid.com","https://www.galvasid.com/","Municipio referido en directorios externos (Apodaca); dirección exacta no publicada"
"ACEROS TREGONZA","No publicado","Av. Ruiz Cortines 5133, Col. Adolfo Prieto, CP 67120","Guadalupe","Lámina en general, perfiles metálicos, mallas, rodajas, material de ferretería","Cotizar","","","81-8379-1821 / 81-8334-9160 / 81-8377-4813","acerostregonza.com","tregonza@gmail.com","https://www.acerostregonza.com/","Más de 3 décadas de experiencia; entrega inmediata desde bodega"
"APILSA Aceros y Procesos Industriales Leija","No publicado","Reforma Agraria 601, Col. Las Escobas, CP 67133","Guadalupe","Lámina inoxidable, al carbón y aluminio; corte láser, plasma de alta definición, pantógrafo CNC","Cotizar","","","81-1520-0953","apilsa.com","ventas@apilsa.com","https://www.acerosleija.com/","Horario: Lun-Vie 08:00-18:00, Sáb 09:00-13:00"
"No publicado","No publicado","Guadalupe, NL (calle no publicada en sitio)","Guadalupe","Lámina rolada en caliente/frío/decapada, placa de rollo y grado, antiderrapante, galvanizado acanalada y lisa, PTR, HSS, polín Monten C y Z, tubo industrial C30/C40, vigas IPR/IPS, solera, canal CPS, ángulos, lámina desplegada, varilla corrugada, cold rolled 1045, solera 1018","Cotizar","","","811 555 8184","acerosymaterialesmty.com","tomas.estrella@hotmail.com","https://www.acerosymaterialesmty.com/","Razón social y dirección exacta no publicadas; email parece personal — pedir ficha fiscal por teléfono"
"ACEROS Y SERVICIOS DE MONTERREY","No publicado","Adolfo Ruiz Cortines Pte. esq. Churubusco, Col. Coyoacán, CP 64530","Monterrey","Placas metálicas, corte de acero","Cotizar","","","81-8379-9084 / 81-8379-9085 / 81-8379-5243","acerosyserviciosdemonterrey.com","ventas@asmsa.com.mx","https://www.acerosyserviciosdemonterrey.com/contacto.html","Sucursal adicional en Apodaca (Carr. Mezquital-Santa Rosa km 5.1, CP 66600, Tel 81-8208-1503)"
"Aceros Treviño","No publicado","Ruiz Cortines 3249, Col. Coyoacán, CP 64510","Monterrey","Lámina rolada en caliente, rolada en frío, galvanizada; placa A-36/A-572 GR.50/A-283 GR.C/A-285 GR.C; vigas IPR/H/IPS; tubería CED 30/40/80; ángulos; cold rolled 1018 redondo y cuadrado; varilla corrugada; malla electrosoldada","Cotizar","","","81-8144-8000","aceros-trevino.com","ventas@acerostrevino.com.mx","https://www.aceros-trevino.com/","Horario: Lun-Vie 08:00-18:00, Sáb 08:00-13:00"
"LÁMINAS CAVAZOS","No publicado","Lima 2722 esq. Manuel Peña y Peña, Col. Garza Nieto, CP 64420","Monterrey","Lámina en rollo y hoja, calibres 18 al 28, lisa y acanalada R101, galvanizada, pintro, policarbonato traslúcido; servicio de corte y maquila","Cotizar","","","81-8351-2749 / 81-1311-9492","laminascavazos.com","","https://www.laminascavazos.com/","Fabricación de molduras y flashing"
"LÁMINAS Y PRODUCTOS LUSA","No publicado","Escobedo 2636, Col. Victoria, CP 64520","Monterrey","Lámina galvanizada, pintro, losacero, lámina traslúcida policarbonato; perfiles estructurales (IPR, PTR, canal, ángulo); molduras metálicas personalizadas","Cotizar","","","81-8114-5626 / 81-1133-5608 / 81-8331-6831","acerosylaminaslusa.com","ventas@laminaslusa.com.mx","https://www.acerosylaminaslusa.com/","Más de 35 años de experiencia; entregas en todo el AMM"
